stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,station_color,color_code,interchange
213,,East Azad Nagar,,28.665043,77.284599,Pink,#FFC0CB,FALSE
214,,Jafrabad,,28.682943,77.27507,Pink,#FFC0CB,FALSE
215,"",Maujpur - Babarpur,,28.692057,77.280922,Pink,#FFC0CB,FALSE
216,,Gokulpuri,,28.703009,77.286301,Pink,#FFC0CB,FALSE
217,,Johri Enclave,,28.713297,77.290154,Pink,#FFC0CB,FALSE
218,,Shiv Vihar,,28.721863,77.289635,Pink,#FFC0CB,FALSE
219,"",Sant Surdas (Sihi),,28.354666,77.316261,Violet,#8A2BE2,FALSE
220,,Raja Nahar Singh,,28.339899,77.331657,Violet,#8A2BE2,FALSE
221,,Vinobapuri,,28.566179,77.249367,Pink,#FFC0CB,FALSE
222,,Ashram,,28.576065,77.25753,Pink,#FFC0CB,FALSE
223,"",Sarai Kale Khan - Nizamuddin,,28.5889,77.253189,Pink,#FFC0CB,FALSE
224,,Mayur Vihar Pocket 1,,28.606598,77.296326,Pink,#FFC0CB,FALSE
225,"",Shaheed Sthal (New Bus Adda),,28.670177,77.416031,Red,#FF0000,FALSE
226,,Hindon River,,28.673508,77.40654,Red,#FF0000,FALSE
227,,Arthala,,28.6772,77.391876,Red,#FF0000,FALSE
228,,Mohan Nagar,,28.67856,77.384209,Red,#FF0000,FALSE
229,,Shyam Park,,28.678217,77.370911,Red,#FF0000,FALSE
230,"",Major Mohit Sharma Rajender Nagar,,28.678095,77.359528,Red,#FF0000,FALSE
231,,Raj Bagh,,28.677122,77.346466,Red,#FF0000,FALSE
232,,Shaheed Nagar,,28.676615,77.333809,Red,#FF0000,FALSE
233,"",Noida Sec-34,,28.580229,77.363518,Blue,#0000FF,FALSE
234,"",Noida Sec-52,,28.586849,77.372749,Blue,#0000FF,FALSE
235,"",Noida Sec-61,,28.597677,77.372368,Blue,#0000FF,FALSE
236,"",Noida Sec-59,,28.609089,77.372955,Blue,#0000FF,FALSE
237,"",Noida Sec-62,,28.616991,77.373611,Blue,#0000FF,FALSE
238,,Noida Electronic City,,28.628685,77.375229,Blue,#0000FF,FALSE
239,,Nangli,,28.61722,77.010345,Grey,#808080,FALSE
240,,Najafgarh,,28.613316,76.986259,Grey,#808080,FALSE
241,,Dhansa Bus Stand,,28.611858,76.975426,Grey,#808080,FALSE
500,,Noida Sector 51,,28.585548,77.375374,Aqua,#00FFFF,FALSE
501,,Noida Sector 50,,28.574547,77.378357,Aqua,#00FFFF,FALSE
502,,Noida Sector 76,,28.565445,77.37973,Aqua,#00FFFF,FALSE
503,,Noida Sector 101,,28.556065,77.385056,Aqua,#00FFFF,FALSE
504,,Noida Sector 81,,28.549259,77.390099,Aqua,#00FFFF,FALSE
505,,NSEZ,,28.532248,77.394951,Aqua,#00FFFF,FALSE
506,,Noida Sector 83,,28.522284,77.396477,Aqua,#00FFFF,FALSE
507,,Noida Sector 137,,28.510817,77.403625,Aqua,#00FFFF,FALSE
508,,Noida Sector 142,,28.498999,77.412567,Aqua,#00FFFF,FALSE
